item,file_base,type,description
Figure 2,Figure_2_Synthetic_Validation_Heatmap,main figure,Synthetic validation of expected versus assigned RCS grades.
Figure 3,Figure_3_Combinatorial_Distribution_Admissible_Grades,main figure,Theoretical admissible combinatorial score-derived grade distribution.
Figure 4,Figure_4_Threshold_Stability_Grade_Transitions,main figure,Threshold-transition stability summary under axis-weight perturbation.
Figure 5,Figure_5_Runtime_Scalability,main figure,Runtime scalability and mean per-profile computational cost.
Supplementary figures,not generated,supplementary figure,No supplementary figures generated by design; non-main evidence exported as supplementary tables.
Additional File S4,Additional_File_S4_Property_Based_Logical_Checks.csv,supplementary table,Property-based logical checks.
Additional File S5,Additional_File_S5_Synthetic_Validation_And_Internal_Calibration.csv,supplementary table,Synthetic validation and internal calibration.
Additional File S6,Additional_File_S6_Threshold_Margin_Analysis.csv,supplementary table,Threshold-margin analysis.
Additional File S7,Additional_File_S7_Governance_Failure_Sensitivity_Override.csv,supplementary table,Governance-failure sensitivity and non-compensable override.
Additional File S8,Additional_File_S8_Global_Sensitivity_And_Axis_Influence.csv,supplementary table,Global sensitivity and axis influence.
Additional File S9,Additional_File_S9_Weight_Perturbation_Robustness.csv,supplementary table,Weight-perturbation robustness.
Additional File S10,Additional_File_S10_Ablation_Analysis.csv,supplementary table,Ablation analysis.
Additional File S11,Additional_File_S11_Runtime_Benchmark_Summary.csv,supplementary table,Runtime benchmark summary.
